"hours since 01.01.2015  1:00:00",velocity,density,temperature,status
804,574.7,0.8,163000,1
805,561,1.3,125000,0
806,564,1.9,81800,0
807,555.5,1.2,109000,0
808,551.7,1,139000,0
809,556.5,1,146000,0
810,548,2,94400,0
811,550.5,1.1,116000,1
812,536.8,1.4,119000,0
813,544.6,1.9,111000,0
814,541,2,94300,0
815,531.4,2.1,91500,0
816,537.5,2.9,90100,0
817,537.9,2.4,72600,0
818,520.7,2,90900,0
819,515.4,1.5,96800,0
820,528.4,2.1,92700,0
821,505.8,1.9,83700,1
822,501.8,2.3,62700,0
823,493.6,0.8,76500,0
824,471,1.7,55700,0
825,468.9,1.2,66100,0
826,470.8,0.9,67200,0
827,466.9,1.1,49800,0
828,458,1.9,59000,0
829,452.3,1.6,66400,0
830,,,-100000,9
831,441.8,0.3,45300,0
832,450.4,0.2,97900,0
833,449.7,0.2,86400,0
834,427.5,0.3,43800,0
835,,,-100000,9
836,,,-100000,9
837,433.7,0,81700,0
838,433.8,0,49900,0
839,434.7,0,76900,0
840,430.8,0,100000,0
841,427.2,0,103000,0
842,419.2,0,59600,0
843,412.6,0,52000,0
844,415.1,0.1,51000,0
845,412.2,0.2,58800,0
846,413.3,0.5,53500,0
847,413.3,0.3,58100,0
848,408.3,0.6,47300,0
849,411.8,1.5,54500,0
850,414.6,1.4,38600,0
851,412.8,1.6,43400,0
852,416.7,1.4,53100,0
853,403.9,0.5,55700,0
854,405.7,0.6,62200,0
855,404.2,1.4,56200,0
856,408.5,0.8,64900,0
857,415.6,1.7,67600,0
858,392.2,1.3,52300,0
859,,,-100000,9
860,,,-100000,9
861,402.4,0.8,63900,1
862,402,0.9,59100,1
863,401.2,1,64000,0
864,394.7,1.1,61300,0
865,403,0.7,80200,0
866,399,1.2,75300,0
867,402.6,1.2,86400,0
868,402.4,1.1,85400,1
869,416.7,1.1,79300,0
870,438.2,0.7,95900,0
871,441.2,0.5,112000,0
872,446.6,1.2,106000,0
873,432.3,0.9,95700,1
874,437.9,0.4,122000,0
875,444.5,1.3,92200,0
876,444.4,0.8,99400,1
877,429.4,0.8,79400,0
878,431.2,0.5,89600,1
879,441.8,1.2,67300,0
880,435.5,0.9,75000,0
881,433.5,0.9,87100,1
882,433.4,1.3,82500,1
883,426.4,0.1,109000,0
884,423.8,0.3,84600,0
885,403,1.1,98100,0
886,408.7,1.6,90900,0
887,430.1,2.1,93000,0
888,426.2,1.6,86400,0
889,426.8,1.3,83500,0
890,423.1,2,88900,0
891,408.5,2.4,71600,0
892,411.3,4.1,102000,0
893,428.2,5,97600,0
894,428.1,5.2,90200,0
895,420.6,3.8,77100,0
896,407.1,2.8,70900,1
897,402.6,0.6,106000,0
898,419.3,0.6,107000,0
899,407.8,3.1,87300,0
900,398.3,2.2,92800,0
901,395.1,2.8,78700,0
902,409.4,3.3,102000,0
903,408.8,3.9,92000,0
904,402.5,3.6,85600,0
905,415.9,3.8,73100,0
906,394.3,3.7,69200,0
907,412.2,1.5,76400,1
908,394.4,2.9,76200,1
909,400.5,3.4,74800,0
910,418.7,1.5,74600,0
911,410.5,2.8,62600,1
912,417.4,2.2,126000,0
913,413.7,2.1,70700,0
914,434.7,2.9,85400,0
915,430.4,1,111000,0
916,422.8,1.5,68500,0
917,441.1,0.6,68500,0
918,462.4,0.3,122000,0
919,483.9,0.2,207000,0
920,516,0.1,237000,0
921,516.6,0.1,198000,0
922,502.4,0.1,171000,0
923,513.3,0.1,217000,1
924,538,0.1,287000,0
925,570.3,0.2,341000,0
926,553.4,0.2,272000,0
927,559.5,0.1,247000,0
928,542,0.1,216000,0
929,545.8,0.1,218000,1
930,547.8,0.4,206000,0
931,519.4,0.2,179000,1
932,,,-100000,9
933,515.1,0.7,187000,0
934,503.8,0.6,159000,0
935,479.6,0.2,117000,0
936,478.9,0.4,140000,1
937,473.5,0.2,156000,0
938,462.7,0.5,132000,0
939,464.5,0.4,151000,0
940,456.6,0.5,125000,1
941,455.9,0.7,107000,0
942,455.6,0.8,118000,0
943,453.7,1.4,109000,0
944,453.5,0.7,126000,0
945,446.5,0.4,116000,0
946,455,1,99200,0
947,436.1,2.6,92300,0
948,424.2,2.7,80200,0
949,430,2.3,74600,0
950,412.6,2,66500,0
951,412.2,2.9,67900,1
952,394,2.6,70800,0
953,383.1,2.8,71500,0
954,399.7,3.8,42100,0
955,,,-100000,9
956,,,-100000,9
